May\MTM_012007Split\Grad3-1 numSpectra	May\MTM_012007Split\Grad3-1 totalIntensity	May\MTM_012007Split\Grad3-2 numSpectra	May\MTM_012007Split\Grad3-2 totalIntensity	May\MTM_012007Split\Grad3-3 numSpectra	May\MTM_012007Split\Grad3-3 totalIntensity	May\MTM_012007Split\Grad3-4 numSpectra	May\MTM_012007Split\Grad3-4 totalIntensity	May\MTM_012007Split\Grad3-5 numSpectra	May\MTM_012007Split\Grad3-5 totalIntensity	May\MTM_012007Split\Grad3-6 numSpectra	May\MTM_012007Split\Grad3-6 totalIntensity	May\MTM_012007Split\Grad3-7 numSpectra	May\MTM_012007Split\Grad3-7 totalIntensity	May\MTM_012007Split\Grad3-8 numSpectra	May\MTM_012007Split\Grad3-8 totalIntensity	 protein_mw	 accession_number	SwissProt ID	 accession_numbers	 coverage_maps	 percentCoverage	 percentCoverages	 numPepsUnique	 scoreUnique	 groupNum	 numSubgroups	 entry_name							
0	0.00E+00	3	7.10E+08	1	5.36E+08	1	2.56E+08	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	7591.9	6324741	Q3E7X9	671634|6321025|683696|6320304|832919	0+29+22+11+14+12+9+35+11+12+17+95|0+29+22+11+14+12+9+35+11+12+17+95|0+29+22+11+14+12+9+35+11+12+17+101|0+29+22+11+14+12+9+35+11+12+17+101|0+35+11+12+17+119	27	27|27|26|26|14	7	119.17	54	2	BMH1							
0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	1	5.05E+06	0	0.00E+00	1	2.07E+06	2	1.52E+07	170439.2	6324727	P33302	6322294|4725	0+34+18+17+12+173+9+7+10+26+14+5+8+19|0+124+9+7+10+26+14+5+8+19	20	20|18	6	118.97	55	1	"Farnesyl pyrophosphate synthetase, has both dimethylallyltranstransferase and geranyltranstransferase activities"	 catalyzes the formation of C15 farnesyl pyrophosphate units for isoprenoid and sterol biosynthesis	 Erg20p					
29	1.62E+09	36	4.22E+09	24	8.62E+08	24	1.60E+09	22	3.18E+08	25	5.39E+08	14	8.61E+07	15	1.31E+08	93289.7	6324707	P32324	6320781	0+16+24+59+15+16+12+4+19	42	42	5	116.42	56	1	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl12Bp"	 rpl12a rpl12b double mutant exhibits slow growth and slow translation	 has similarity to E. coli L11 and rat L12 ribosomal proteins	 Rpl12ap				
1	8.04E+07	0	0.00E+00	1	8.59E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	2	8.66E+06	1	5.86E+06	102250.8	6324703	Q99222	6323371|22022642	0+14+9+58+16+13+34+168|0+14+9+87+34+168	18	18|13	5	115.21	57	1	"Conserved ribosomal protein P0 similar to rat P0, human P0, and E. coli L10e"	 shown to be phosphorylated on serine 302	 Rpp0p					
0	0.00E+00	1	4.32E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	13677.5	6324696	P07274	6320121|6323791	0+21+10+14+14+14+27+4+11+84|0+21+10+14+14+14+27+4+11+84	31	31|31	6	112.88	58	1	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl13Bp"	 not essential for viability	 has similarity to rat L13 ribosomal protein	 Rpl13ap				
0	0.00E+00	1	1.31E+08	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	37218.6	6324580	Q12118	6322171	0+30+7+23+8+2+23+35+17+18+11+80	25	25	6	110.1	59	1	"Protein component of the large (60S) ribosomal subunit, identical to Rpl2Ap and has similarity to E. coli L2 and rat L8 ribosomal proteins"	 expression is upregulated at low temperatures	 Rpl2bp					
0	0.00E+00	2	4.51E+08	1	1.46E+08	7	7.16E+08	1	2.43E+08	3	1.20E+08	3	1.05E+08	2	3.04E+07	10745.8	6324534	P05319	6323138	0+7+25+70+22+32+20	38	38	5	107.15	60	1	"Thiol-specific peroxiredoxin, reduces hydroperoxides to protect against oxidative damage"	 function in vivo requires covalent conjugation to Urm1p	 Ahp1p					
97	1.97E+10	71	8.18E+09	57	7.41E+09	42	3.70E+09	39	1.59E+09	21	5.86E+08	21	3.81E+08	11	8.08E+07	36849.4	6324486	P00330	133961	0+28+12+101+16+17+29+51	22	22	5	107	61	1	40S ribosomal protein S2 (S4) (YS5) (RP12) (Omnipotent suppressor protein SUP44)							
2	4.88E+07	0	0.00E+00	0	0.00E+00	2	1.47E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	12589	6324463	Q08245	6320896	0+70+12+18+20+8+16+153	16	16	5	103.95	62	1	"ATP phosphoribosyltransferase, a hexameric enzyme, catalyzes the first step in histidine biosynthesis"	" mutations cause histidine auxotrophy and sensitivity to Cu, Co, and Ni salts"	 transcription is regulated by general amino acid control	 His1p				
10	4.78E+08	8	7.09E+08	7	4.02E+08	8	6.06E+08	19	8.38E+08	12	5.35E+08	16	6.15E+08	31	3.89E+08	20563.2	6324452	P07279	6320228|559943|1914797	0+11+13+12+21+12+10+9+8+20+17+23|0+27+21+12+10+9+8+20+17+23|0+21+21+12+10+9+8+20+17+23	44	44|38|39	6	103.75	63	1	Protein component of the small (40S) ribosomal subunit	 identical to Rps11Bp and has similarity to E. coli S17 and rat S11 ribosomal proteins	 Rps11ap					
2	6.33E+07	10	5.29E+08	4	2.41E+08	3	8.52E+07	1	7.00E+06	5	6.11E+07	1	7.69E+06	0	0.00E+00	15917.2	6324451	P07280	6320148	0+159+12+72+19+6+18+3+10+6+15+41	20	20	5	103.38	64	1	"GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase), synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wall biosynthesis"	 required for normal cell wall structure	 Psa1p					
0	0.00E+00	1	6.70E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	24254.3	6324433	P07260	6320359	0+42+32+49+28+11	37	37	5	102.79	65	1	"Cytoplasmic peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues"	 binds the drug cyclosporin A	 Cpr1p					
0	0.00E+00	1	5.47E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	44116.1	6324371	P32377	6321807	0+7+31+186+14+127+16+132+15+26	13	13	5	102.56	66	1	"Cytosolic asparaginyl-tRNA synthetase, required for protein synthesis, catalyzes the specific attachment of asparagine to its cognate tRNA"	 Ded81p						
0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	1	1.03E+07	2	1.58E+07	2	1.24E+07	0	0.00E+00	250354.7	6324343	Q00955	6321772	0+6+15+11+11+46+13+19	32	32	5	102.18	67	1	Protein component of the small (40S) ribosomal subunit	 overproduction suppresses mutations affecting RNA polymerase III-dependent transcription	 has similarity to E. coli S10 and rat S20 ribosomal proteins	 Rps20p				
0	0.00E+00	1	1.54E+08	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	37590.2	6324321	P25294	133003|6325126	0+112+8+44+32+52+10+1+11+27|0+112+8+44+32+52+10+1+11+27	20	20|20	5	98.37	68	1	60S ribosomal protein L5 (L1) (YL3) (Ribosomal 5S RNA-binding protein)							
0	0.00E+00	1	3.74E+08	1	1.07E+08	2	4.26E+08	0	0.00E+00	0	0.00E+00	1	3.65E+07	0	0.00E+00	11368.4	6324298	P02309	6325293	0+23+22+70+7+98+9+238+11	10	10	5	98.27	69	1	vacuolar ATPase V1 domain subunit H (54 kDa)	 Vma13p						
2	1.41E+07	1	5.08E+06	1	2.50E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	44671	6324265	P25491	6323613	0+14+17+79+22+4+18+42	29	29	5	95.42	70	1	"Thioredoxin-peroxidase (TPx), reduces H2O2 and alkyl hydroperoxides with the use of hydrogens provided by thioredoxin, thioredoxin reductase, and NADPH"	 provides protection against oxidation systems that generate reactive oxygen and sulfur species	 Tsa1p					
1	4.37E+07	1	4.60E+07	1	4.32E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	23540.8	6324250	P17536	6319603	0+14+11+416+11+35+15+15	7	7	4	94.19	71	1	Vacuolar H+ ATPase regulatory subunit (subunit B) of the catalytic (V1) sector	 Vma2p						
0	0.00E+00	5	6.26E+08	2	2.17E+08	1	1.18E+08	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	21634.4	6324233	P48164	585880|1350714	0+170+10+91+38+53|0+170+10+91+38+53	13	13|13	4	92.83	72	1	60S ribosomal protein L4-A (L2A) (RP2)							
0	0.00E+00	3	4.41E+08	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	12157.9	6324194	P20081	6323057|6323769	0+5+7+65+16+21+14+19+10+47|0+77+16+21+14+76	23	23|14	4	92.46	73	1	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl15Bp and has similarity to rat L15 ribosomal protein"	 binds to 5.8 S rRNA	 Rpl15ap					
0	0.00E+00	0	0.00E+00	0	0.00E+00	1	7.82E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	45667.6	6324155	P53883	6321013	0+131+9+84+17+33+14+94+17+178	9	9	4	92.11	74	1	"Poly(A) binding protein, cytoplasmic and nuclear"	 Pab1p						
2	1.55E+08	9	6.60E+08	4	2.84E+08	6	6.36E+08	7	2.45E+08	5	7.95E+07	4	7.81E+07	5	2.45E+07	26502.9	6324151	P05750	6323333	0+58+12+280+36+58	10	10	4	88.84	75	1	"O-acetyl homoserine-O-acetyl serine sulfhydrylase, required for sulfur amino acid synthesis"	 Met17p						
0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	1	7.86E+06	60441.7	6324140	Q02821	6324451|6324027	0+27+11+30+10+14+11+7+9+25|0+27+11+30+10+14+11+7+9+25	28	28|28	5	86.94	76	1	Protein component of the small (40S) ribosomal subunit	 nearly identical to Rps19Bp and has similarity to rat S19 ribosomal protein	 Rps19ap					
38	2.20E+09	55	4.77E+09	33	1.20E+09	31	1.59E+09	30	8.07E+08	20	5.46E+08	23	4.09E+08	40	3.09E+08	66594.9	6324120	P40150	6325025|2326840	0+470+11+231+12+355+11+93+13+648+12+31|0+278+12+31	3	3|3	5	86.58	77	1	"Alpha subunit of fatty acid synthetase, which catalyzes the synthesis of long-chain saturated fatty acids"	 contains beta-ketoacyl reductase and beta-ketoacyl synthase activities	 Fas2p					
4	5.90E+07	1	1.33E+07	1	1.07E+07	0	0.00E+00	0	0.00E+00	1	6.07E+06	0	0.00E+00	0	0.00E+00	17103.6	6324074	P53849	957238|6323387|957236	0+76+21+18+11+85+15+24+10+135|0+76+21+18+11+85+15+24+10+135|0+211+15+24+10+135	14	14|14|6	4	86.57	78	1	acetohydroxy-acid isomeroreductase	 Ilv5x						
0	0.00E+00	1	7.06E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	104831.7	6324042	P32074	173146|6322331|854566|4761	0+129+16+69+11+61+8+30+13+237+15+1625|0+129+16+69+11+61+8+30+13+237+15+1625|0+40+11+61+8+30+13+237+15+1625|0+129+16+69+11+61+8+30+13+172	2	2|2|2|9	5	86.16	79	1	carbamyl phosphate synthetase							
1	3.66E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	26649.1	6323971	P41818	6320655|6323617	0+23+21+5+10+36+16+25|0+23+21+5+10+36+16+25	34	34|34	4	86	80	1	Ribosomal protein 51 (rp51) of the small (40s) subunit	 nearly identical to Rps17Ap and has similarity to rat S17 ribosomal protein	 Rps17bp					
1	6.89E+06	1	1.99E+07	1	1.12E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	93204.9	6323969	P32497	52788570	0+14+12+22+15+27+13+3+9+5	40	40	5	84.3	81	1	"Protein component of the large (60S) ribosomal subunit, identical to Rpl35Ap and has similarity to rat L35 ribosomal protein"	 Rpl35bp						
0	0.00E+00	0	0.00E+00	1	3.24E+06	1	3.25E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	56719.7	6323958	P04046	6325178|6319668|311666	0+35+8+17+18+22+8+12+10+30|0+35+8+17+18+22+8+12+10+30|0+21+18+22+8+12+10+30	27	27|27|29	5	83.87	82	1	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl21Ap and has similarity to rat L21 ribosomal protein"	 Rpl21bp						
0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	1	5.75E+06	0	0.00E+00	0	0.00E+00	104618.2	6323861	P16862	6325036	0+105+13+4+25+70	17	17	4	83.78	83	1	"N-terminally acetylated protein component of the large (60S) ribosomal subunit, nearly identical to Rpl1Bp and has similarity to E. coli L1 and rat L10a ribosomal proteins"	 rpl1a rpl1b double null mutation is lethal	 Rpl1ap					
2	4.61E+07	2	6.29E+07	1	3.01E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	24895.8	6323858	P32352	6321977	0+37+10+71+17+70+15+226+9+34	10	10	4	81.93	84	1	"6-phosphogluconate dehydrogenase, decarboxylating"	 converts 6-phosphogluconate + NADP to ribulose-5-phosphate + NADPH + CO2	 Phosphogluconate Dehydrogenase (Decarboxylating)	 Gnd1p				
36	2.91E+09	28	1.29E+09	22	1.39E+09	14	3.71E+08	26	5.21E+08	24	4.53E+08	21	2.28E+08	18	2.11E+08	80900.1	6323840	P15108	6322583	0+54+11+18+9+65+9+22+15+22	19	19	5	81.34	85	1	"Protein component of the small (40S) ribosomal subunit, the least basic of the non-acidic ribosomal proteins"	 phosphorylated in vivo	 essential for viability	 has similarity to E. coli S7 and rat S5 ribosomal proteins	 Rps5p			
0	0.00E+00	1	1.99E+07	1	5.98E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	46233.3	6323826	P18899	585885	0+27+6+3+8+1+9+36+13+27	27	27	5	79.69	86	1	60S ribosomal protein L32							
0	0.00E+00	1	2.91E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	13962	6323771	Q03880	6322912	0+35+16+87+18+115+8+116	10	10	4	78.44	87	1	translation initiation factor eIF4A	 Tif1p						
12	9.78E+08	10	8.27E+08	10	5.53E+08	11	6.15E+08	13	1.78E+08	8	1.44E+08	9	1.39E+08	9	6.60E+07	34805.5	6323763	P38011	6325114|6324808	0+20+27+52+8|0+20+27+52+8	32	32|32	4	78.34	88	2	"N-terminally acetylated ribosomal protein L37 of the large (60S) ribosomal subunit, nearly identical to Rpl33Bp and has similarity to rat L35a"	 rpl33a null mutant exhibits slow growth while rpl33a rpl33b double null mutant is inviable	 Rpl33ap					
0	0.00E+00	0	0.00E+00	0	0.00E+00	1	4.42E+07	1	1.60E+06	2	2.06E+07	1	2.12E+06	0	0.00E+00	145166.3	6323654	Q03690	6322847|6321786|2131109	0+31+19+34+9+15+9+21|0+31+19+58+9+21|0+41+9+15+9+21	26	26|20|18	5	76.61	89	1	"N-terminally acetylated protein component of the large (60S) ribosomal subunit, nearly identical to Rpl14Bp and has similarity to rat L14 ribosomal protein"	 rpl14a csh5 double null mutant exhibits synthetic slow growth	 Rpl14ap					
8	1.66E+09	10	1.25E+09	8	1.04E+09	2	1.02E+08	1	3.83E+07	1	1.66E+07	1	7.92E+06	2	2.18E+07	21589.8	6323613	P34760	51013871|6324378	0+34+15+40+16+30+7+220+13+71|0+34+15+40+16+30+7+220+13+71	11	11|11	5	76.6	90	1	YNR050C							
1	7.19E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	45869.8	6323593	Q04697	6321614	0+135+34+327	6	6	4	76.18	91	1	"Squalene epoxidase, catalyzes the epoxidation of squalene to 2,3-oxidosqualene"	 plays an essential role in the ergosterol-biosynthesis pathway and is the specific target of the antifungal drug terbinafine	 Erg1p					
0	0.00E+00	0	0.00E+00	0	0.00E+00	1	1.90E+07	1	1.10E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	188578.1	6323533	P52593	6322599	0+118+10+29+11+118+10+19+9+35	11	11	4	75.79	92	1	"Homoserine dehydrogenase (L-homoserine:NADP oxidoreductase), dimeric enzyme that catalyzes the third step in the common pathway for methionine and threonine biosynthesis"	" enzyme has nucleotide-binding, dimerization and catalytic regions"	 Hom6p					
1	6.94E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	35287.4	6323510	Q12746	4602|6323386|3828	0+20+36+20+12+247|0+20+36+20+12+247|0+20+36+20+12+9	14	14|14|49	3	74.72	93	1	unnamed protein product							
0	0.00E+00	1	1.79E+08	1	2.64E+07	0	0.00E+00	0	0.00E+00	1	2.01E+07	0	0.00E+00	0	0.00E+00	55013.8	6323509	P54839	417336|6323077	0+62+17+9+25+6+8+125|0+62+17+9+25+6+8+125	19	19|19	4	73.92	94	1	40S ribosomal protein S0-A (Nucleic acid-binding protein NAB1A)							
3	1.89E+08	4	6.81E+08	3	6.51E+08	6	6.28E+08	11	6.02E+08	3	6.68E+07	4	1.23E+08	3	3.34E+07	19986.6	6323481	P05739	132943|132946	0+61+8+8+14+2+8+54|0+61+8+8+14+2+8+54	19	19|19	4	73.18	95	1	60S ribosomal protein L24-A (L30A) (RP29) (YL21)							
5	8.04E+08	5	7.89E+08	6	6.40E+08	7	6.61E+08	4	2.65E+08	4	2.06E+08	1	1.54E+07	0	0.00E+00	28743.5	6323474	P33442	42742310|51012957	0+75+8+19+25+10+12+2|0+9+25+10+12+2	29	29|63	4	71.11	96	1	bridges the DNA-binding region of GCN4 and TBP	 similar to multiprotein bridging factor 1 of Bombyx mori	 multiprotein bridging factor	 Mbf1p				
0	0.00E+00	0	0.00E+00	1	2.45E+08	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	69817.4	6323433		6323179	0+33+15+225	5	5	3	70.4	97	1	Protein that binds quadruplex nucleic acids	 multicopy suppressor of tom1 and pop2 mutations	 acts with Cdc13p to maintain telomere structure	 Stm1p				
0	0.00E+00	1	4.08E+08	1	2.12E+07	1	6.50E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	6660.7	6323420	P41057	1350951	0+16+11+30+11+40+7+31	19	19	3	69.14	98	1	40S ribosomal protein S18							
0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	1	1.09E+07	1	5.12E+06	0	0.00E+00	0	0.00E+00	52936.8	6323411	P32915	6321987|172043	0+41+29+104|0+37+29+104	16	16|17	3	69.13	99	1	"GAL4 enhancer protein, homolog of human alpha NAC subunit of the nascent-polypeptide-associated complex"	 Egd2p						
3	2.01E+08	1	1.87E+07	1	6.52E+07	1	3.78E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	54510.7	6323391	Q05911	9755341	0+14+9+36+7+21+19+37	24	24	4	69.05	100	1	Protein component of the small (40S) ribosomal subunit	 identical to Rps16Bp and has similarity to E. coli S9 and rat S16 ribosomal proteins	 Rps16ap					
2	1.19E+08	3	1.01E+09	5	4.49E+08	4	5.58E+08	4	6.35E+07	4	2.96E+08	6	7.42E+07	3	3.09E+07	33717.4	6323371	P05317	1230682	0+491+21+16+16+103+12+21	7	7	3	68.95	101	1	Tkl1p: Transketolase 1							
6	3.49E+08	3	1.76E+08	4	2.34E+08	2	7.55E+07	1	4.71E+07	1	1.20E+07	0	0.00E+00	0	0.00E+00	48671.9	6323333	P06106	6324772	0+38+16+126+12+146+11+121	8	8	3	67.77	102	1	Component of mRNP complexes associated with polyribosomes	 implicated in secretion and nuclear segregation	 multicopy suppressor of BFA (Brefeldin A) sensitivity	 Bfr1p				
1	1.88E+07	1	4.02E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	60751.9	6323288	P19882	6324233|1164943|6324670	0+7+15+66+8+61+18+15|0+91+8+61+18+4+11|0+88+8+61+18+4+11	21	21|19|19	4	67.72	103	2	"Protein component of the small (40S) ribosomal subunit, nearly identical to Rps7Ap"	 interacts with Kti11p	 deletion causes hypersensitivity to zymocin	 has similarity to rat S7 and Xenopus S8 ribosomal proteins	 Rps7bp			
0	0.00E+00	1	6.54E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	42072.2	6323246	P53691	6322605	0+113+9+12+11+34+8+58+7+9	13	13	4	67.56	104	1	Protein component of the small (40S) ribosomal subunit	 mutation affects 20S pre-rRNA processing	 identical to Rps4Bp and has similarity to rat S4 ribosomal protein	 Rps4ap				
2	2.15E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	56864.4	6323226	Q12460	51830210|6319901	0+67+14+313+12+108|0+67+14+313+12+108	5	5|5	3	67.29	105	1	YCR053W							
0	0.00E+00	1	3.03E+06	0	0.00E+00	1	3.89E+07	0	0.00E+00	2	9.20E+06	1	3.62E+06	0	0.00E+00	9850.3	6323214	P49166	6322769|2131112	0+13+12+91+8+63+19+206|0+47+8+63+19+206	9	9|7	4	66.04	106	1	Translation elongation factor EF-1gamma	 Tef4p						
0	0.00E+00	2	2.12E+08	1	6.94E+07	0	0.00E+00	1	6.40E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	41818.6	6323209	P10659	6320444	0+176+16+136+10+143+14+478	4	4	3	65.27	107	1	Involved in endoplasmic-to-Golgi protein trafficking	 encodes a subunit of yeast coatomer	 Sec26p					
8	2.81E+09	6	1.13E+09	7	6.81E+08	5	4.26E+08	3	4.66E+07	4	5.62E+07	3	4.04E+07	1	6.05E+06	17216.2	6323196	P61864	6325097	0+217+16+650+13+40+11+143	3	3	3	64.78	108	1	"Cytosolic leucyl tRNA synthetase, ligates leucine to the appropriate tRNA"	 Cdc60p						
3	6.85E+07	2	3.82E+07	1	2.14E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	75492	6323182	P52910	6322794	0+5+16+76+14+56	17	17	3	63.89	109	1	Hypothetical ORF	 Ykl056cp						
1	1.08E+07	4	1.81E+08	6	8.25E+07	2	7.92E+07	0	0.00E+00	2	1.37E+07	0	0.00E+00	0	0.00E+00	29995.1	6323179	P39015	729488|6321673|13183165	0+11+15+23+17+141+10+182|0+11+15+23+17+141+10+182|0+11+15+10	10	10|10|41	3	63.75	110	1	Flavohemoprotein (Hemoglobin-like protein) (Flavohemoglobin) (Nitric oxide dioxygenase) (NO oxygenase) (NOD)							
13	1.31E+09	15	1.96E+09	15	1.07E+09	14	1.05E+09	9	2.49E+08	8	2.51E+08	4	3.50E+07	3	3.21E+07	19114.8	6323138	P38013	6325006|6323848	0+45+17+22+14+2|0+45+17+22+14+2	31	31|31	3	62.55	111	1	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl36Bp and has similarity to rat L36 ribosomal protein"	 binds to 5.8 S rRNA	 Rpl36bp					
0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	1	6.26E+06	0	0.00E+00	1	2.49E+06	0	0.00E+00	39724.9	6323129	Q12452	1711626|37362649|1150594	0+109+15+31+9+144+10+406|0+93+15+31+9+144+10+406|0+109+15+21	4	4|4|10	3	61.09	112	1	"Glutamyl-tRNA synthetase, cytoplasmic (Glutamate--tRNA ligase) (GluRS) (P85)"							
6	6.31E+08	7	1.05E+09	10	1.20E+09	5	4.12E+08	1	6.72E+06	2	2.97E+07	0	0.00E+00	0	0.00E+00	25361.5	6323104	P41805	320176|6324445|4326	0+61+13+51+13+4|0+61+13+51+13+4|0+61+13+46+13+4	18	18|18|18	2	59.62	113	1	ribosomal protein L23a.e							
0	0.00E+00	2	3.84E+08	2	8.91E+07	1	1.20E+08	1	1.75E+06	1	4.08E+07	0	0.00E+00	0	0.00E+00	13693.5	6323090	P05749	6324886	0+49+18+130+10+10+17+277	8	8	3	57.56	114	1	"Protein involved in pre-rRNA processing, 18S rRNA synthesis, and snoRNA synthesis"	" component of the small subunit processome complex, which is required for processing of pre-18S rRNA"	 Nop58p					
76	1.23E+10	70	1.15E+10	70	1.05E+10	72	8.78E+09	75	4.35E+09	65	4.51E+09	61	2.80E+09	69	2.76E+09	61495.7	6323073	P06169	533365|6325151|551301|6319646|312611	0+170+27+177+14+305|0+170+27+177+14+305|0+170+27+70|0+374+14+305|0+366+14+305	5	5|5|10|2|2	3	57.19	115	1	SSE1 protein							
1	1.76E+08	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	11235.1	6323072	P22217	6325300	0+36+9+4+31+12	43	43	3	56.32	116	1	"Protein component of the large (60S) ribosomal subunit, identical to Rpl43Bp and has similarity to rat L37a ribosomal protein"	 null mutation confers a dominant lethal phenotype	 Rpl43ap					
5	4.34E+08	12	9.75E+08	6	5.32E+08	12	3.08E+09	10	5.60E+08	8	2.00E+08	9	1.32E+08	6	5.14E+07	24422.3	6323057	P05748	171863	0+37+26+78+13+240	9	9	3	55.03	117	1	Cys3p: cystathionine gamma-lyase							
1	4.19E+07	1	1.17E+07	1	2.01E+07	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	63515.8	6323011	P04802	6321624	0+139+11+43+16+144+9+32	9	9	3	54.96	118	1	"tyrosyl-tRNA synthetase, cytoplasmic"	 Tys1p						
1	7.07E+06	0	0.00E+00	0	0.00E+00	0	0.00E+00	0	0.00E+00	1	1.37E+06	0	0.00E+00	0	0.00E+00	32186.3	6323005	Q12164	6322137|9755331	0+24+7+12+17+31+8+22|0+24+7+12+17+31+8+22	26	26|26	3	53.77	119	1	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl34Ap and has similarity to rat L34 ribosomal protein"	 Rpl34bp						
53	4.84E+09	45	3.13E+09	24	1.76E+09	25	1.18E+09	18	3.41E+08	16	2.94E+08	8	7.57E+07	5	5.57E+07	69470.3	6323004	P10592	6321601	0+320+27+120+24+184+14+263	6	6	3	51.94	120	1	also called eIF4 (eIF-4) gamma	" mRNA cap-binding protein (eIF-4F), 150K subunit , highly homologous to Tif4632p, homologs of mammalian p220"	 Tif4631p					
1	1.03E+08	10	1.29E+09	7	7.52E+08	7	7.55E+08	5	2.48E+08	3	1.42E+08	1	3.37E+07	1	3.03E+06	28111.9	6322984	P29453	6319315|416932	0+13+37+156|0+13+26+167	17	17|12	3	51.73	121	1	Translation elongation factor 1 beta	 stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle	" part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site"	 Efb1p				
1	8.61E+07	2	2.17E+08	1	9.06E+06	1	6.64E+07	0	0.00E+00	1	9.60E+06	0	0.00E+00	0	0.00E+00	15900.8	6322978	Q03048	6320142	0+22+18+6+8+2	46	46	3	51.62	122	1	Protein component of the small (40S) ribosomal subunit	 nearly identical to Rps29Ap and has similarity to rat S29 and E. coli S14 ribosomal proteins	 Rps29bp					
